{'time': 1622619934.8277404, 'processing_delay': 4.502474546432495, 'bandwidth': 3565.2468348335983}
{'time': 1622619939.6500814, 'processing_delay': 4.4505860805511475, 'bandwidth': 3377.4600174890065}
{'time': 1622619944.4168131, 'processing_delay': 4.438003778457642, 'bandwidth': 3605.979923900231}
{'time': 1622619949.1755867, 'processing_delay': 4.440585136413574, 'bandwidth': 3168.828886363972}
{'time': 1622619953.939547, 'processing_delay': 4.478637456893921, 'bandwidth': 3057.142518734483}
{'time': 1622619958.7352948, 'processing_delay': 4.407398223876953, 'bandwidth': 3612.397553475666}
{'time': 1622619963.4600124, 'processing_delay': 4.418402194976807, 'bandwidth': 3462.343041403328}
{'time': 1622619968.195554, 'processing_delay': 4.392528295516968, 'bandwidth': 3370.177193417472}
{'time': 1622619972.9091954, 'processing_delay': 4.432022333145142, 'bandwidth': 3461.5728604173582}
{'time': 1622619977.657963, 'processing_delay': 4.371795177459717, 'bandwidth': 3397.5301041653483}
{'time': 1622619982.345599, 'processing_delay': 4.410572290420532, 'bandwidth': 3477.8527484558053}
{'time': 1622619987.0715551, 'processing_delay': 4.448540449142456, 'bandwidth': 3602.423074471333}
{'time': 1622619991.8402495, 'processing_delay': 4.438624143600464, 'bandwidth': 3536.768921651943}
{'time': 1622619996.6011033, 'processing_delay': 4.437073230743408, 'bandwidth': 3252.8956641865198}
{'time': 1622620001.3581522, 'processing_delay': 4.575150728225708, 'bandwidth': 3201.663309180905}
{'time': 1622620006.2585359, 'processing_delay': 4.606412410736084, 'bandwidth': 3560.683205385419}
{'time': 1622620011.1900098, 'processing_delay': 4.535869836807251, 'bandwidth': 3244.256448528101}
{'time': 1622620016.0301445, 'processing_delay': 4.4644248485565186, 'bandwidth': 3563.1645588942906}
{'time': 1622620020.8139284, 'processing_delay': 4.464370965957642, 'bandwidth': 3556.143021792409}
