('total_service_delay', 'net_speed', 'cpu_usage', 'memory_usage')
(0.5892388820648193, 128407.29777565176, 28.6, 49.2)
(0.5705829858779907, 128284.56678614097, 27.9, 49.1)
(0.590767502784729, 128715.15511867657, 27.2, 49.1)
(0.5729982852935791, 128253.92068800764, 28.8, 49.1)
(0.5563242435455322, 64149.947663998086, 28.8, 49.1)
(0.5612668991088867, 128223.28922856461, 27.2, 49.1)
(0.5743461847305298, 128253.92068800764, 28.2, 49.1)
(0.5790053606033325, 128284.56678614097, 28.9, 49.2)
(0.5778543949127197, 126620.49811320755, 28.1, 49.1)
(0.5814172029495239, 128345.90294047334, 28.0, 49.1)
(0.5760736465454102, 128591.83520958084, 27.5, 49.1)
(0.5605000257492065, 128376.59301769489, 29.2, 49.1)
(0.5715322494506836, 127765.56687291765, 28.9, 49.1)
(0.5577585697174072, 128284.56678614097, 27.8, 49.1)
(0.5852769613265991, 128499.50023934897, 28.6, 49.2)
(0.5821908712387085, 128315.2275334608, 27.6, 49.1)
(0.5657565593719482, 128315.2275334608, 27.5, 49.1)
(0.5590348243713379, 128162.07018381475, 28.5, 49.1)
(0.5717236995697021, 128070.35114503816, 28.5, 49.1)
(0.5549391508102417, 42792.19767256496, 28.1, 49.1)
